CEF:0|PaloAlto|PA-5220|10.2|THREAT|url-filtering|3|rt=Jun 12 2026 08:02:15 UTC src=10.0.5.22 dst=93.184.216.34 spt=49201 dpt=443 act=allow cat=business-and-economy cs1=HTTPS-DECRYPT
CEF:0|PaloAlto|PA-5220|10.2|TRAFFIC|end|1|rt=Jun 12 2026 08:03:00 UTC src=10.0.5.22 dst=93.184.216.34 spt=49201 dpt=443 proto=TCP act=allow in=15234 out=42301
CEF:0|PaloAlto|PA-5220|10.2|THREAT|spyware|8|rt=Jun 12 2026 08:10:22 UTC src=10.0.5.44 dst=198.51.100.77 spt=52310 dpt=443 act=alert cat=command-and-control cs1=Trojan.Gen.DNS cs2=critical
CEF:0|PaloAlto|PA-5220|10.2|THREAT|spyware|8|rt=Jun 12 2026 08:10:45 UTC src=10.0.5.44 dst=198.51.100.77 spt=52311 dpt=80 act=block cat=command-and-control cs1=Trojan.Gen.HTTP cs2=critical
CEF:0|PaloAlto|PA-5220|10.2|THREAT|spyware|8|rt=Jun 12 2026 08:11:02 UTC src=10.0.5.44 dst=203.0.113.99 spt=52400 dpt=8443 act=block cat=command-and-control cs1=Beacon.C2.TLS cs2=critical
CEF:0|PaloAlto|PA-5220|10.2|TRAFFIC|deny|5|rt=Jun 12 2026 08:15:30 UTC src=203.0.113.55 dst=10.0.1.10 spt=44812 dpt=22 proto=TCP act=deny rule=BLOCK-EXTERNAL-SSH in=0 out=0
CEF:0|PaloAlto|PA-5220|10.2|TRAFFIC|deny|5|rt=Jun 12 2026 08:15:31 UTC src=203.0.113.55 dst=10.0.1.10 spt=44813 dpt=22 proto=TCP act=deny rule=BLOCK-EXTERNAL-SSH in=0 out=0
CEF:0|PaloAlto|PA-5220|10.2|TRAFFIC|deny|5|rt=Jun 12 2026 08:15:32 UTC src=203.0.113.55 dst=10.0.1.10 spt=44814 dpt=22 proto=TCP act=deny rule=BLOCK-EXTERNAL-SSH in=0 out=0
CEF:0|PaloAlto|PA-5220|10.2|TRAFFIC|deny|5|rt=Jun 12 2026 08:15:33 UTC src=203.0.113.55 dst=10.0.1.10 spt=44815 dpt=22 proto=TCP act=deny rule=BLOCK-EXTERNAL-SSH in=0 out=0
CEF:0|PaloAlto|PA-5220|10.2|TRAFFIC|deny|5|rt=Jun 12 2026 08:15:34 UTC src=203.0.113.55 dst=10.0.1.10 spt=44820 dpt=22 proto=TCP act=deny rule=BLOCK-EXTERNAL-SSH in=0 out=0
CEF:0|PaloAlto|PA-5220|10.2|THREAT|vulnerability|7|rt=Jun 12 2026 08:20:10 UTC src=203.0.113.88 dst=10.0.1.20 spt=61234 dpt=443 act=block cat=sql-injection cs1=SQL-Injection-Attempt cs2=high
CEF:0|PaloAlto|PA-5220|10.2|THREAT|vulnerability|7|rt=Jun 12 2026 08:20:15 UTC src=203.0.113.88 dst=10.0.1.20 spt=61235 dpt=443 act=block cat=sql-injection cs1=SQL-Injection-Attempt cs2=high
CEF:0|PaloAlto|PA-5220|10.2|SYSTEM|auth|4|rt=Jun 12 2026 08:25:00 UTC src=10.0.1.5 act=success user=admin msg=Successful admin login from 10.0.1.5
CEF:0|PaloAlto|PA-5220|10.2|SYSTEM|auth|6|rt=Jun 12 2026 08:30:11 UTC src=10.0.9.15 act=failure user=admin msg=Failed login attempt — invalid password
CEF:0|PaloAlto|PA-5220|10.2|SYSTEM|auth|6|rt=Jun 12 2026 08:30:22 UTC src=10.0.9.15 act=failure user=admin msg=Failed login attempt — invalid password
CEF:0|PaloAlto|PA-5220|10.2|SYSTEM|auth|6|rt=Jun 12 2026 08:30:35 UTC src=10.0.9.15 act=failure user=admin msg=Failed login attempt — invalid password
